Case number,Annual weight,Total expenditure,Gross normal weekly household income - anonymised,Main source of household income - code,Internet connection in household,Economic position of household reference person,NS - SEC 8 Class of household reference person,Tenure type,Sex of household reference person,Number of persons in household,Number of adults,Number of children,Government Office Region modified,Annual weight r,Main income,Income,Expenditure,Household size
9178,6.1733649429409825,46.065,145.962,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Yorkshire and the Humber,1.1830675807173077,other source,145.962,46.065,1
9175,6.046707312748272,90.59669080728143,471.862,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South East,1.1587948319787418,other source,471.862,90.59669,1
9173,5.193730394903662,718.8998191775032,1184.99,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,4 person,2 adults,Two or more children,South West,0.9953297933929327,earnings,1184.99,718.89984,4
9170,7.75422580443994,1175.0,1184.99,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,5 person or more,3 adults,Two or more children,Eastern,1.4860247608209771,earnings,1184.99,1175.0,5
9168,2.338325085977905,300.36619683748165,357.53,Earned income,No,Full-time working,Routine and manual occupations,Public rented,Male,4 person,2 adults,Two or more children,West Midlands,0.44811810543644337,earnings,357.53,300.3662,4
9163,5.216204099444478,437.07,929.8115384615384,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,3 adults,No children,Northern Ireland,0.9996366684127322,earnings,929.8115,437.07,3
9159,5.817420075763175,529.7868694430051,773.56,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,South East,1.1148540801753848,earnings,773.56,529.78687,3
9158,4.299072310353803,382.1900512504867,761.0215384615384,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,Wales,0.8238769495321675,earnings,761.02155,382.19006,2
9154,4.010498333437675,410.3548628401673,484.142,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.7685744492128697,earnings,484.142,410.35486,2
9153,8.25440474586119,239.02,238.9,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,2 person,2 adults,No children,North West and Merseyside,1.581879371008833,other source,238.9,239.02,2
9152,4.866109080805325,690.6503532056353,564.457,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,Eastern,0.932544236562221,other source,564.457,690.6503,1
9150,4.0983328110493025,224.47409447788536,291.272,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Wales,0.7854071043194463,other source,291.272,224.47409,1
9150,6.2433670027793,960.2405997476513,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,3 adults,No children,West Midlands,1.196482819949656,earnings,1184.99,960.2406,3
9149,2.785476654328315,260.6372159777377,330.48,Other income,Yes,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Private rented,Female,5 person or more,1 adult,Two or more children,South East,0.5338105161511499,other source,330.48,260.6372,5
9145,5.59201563207937,257.2773492577955,693.87,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,2 adults,Two or more children,Wales,1.0716574293477263,earnings,693.87,257.27734,4
9144,6.082915480739757,491.5346085697431,587.42,Earned income,Yes,Part-time working,Routine and manual occupations,Private rented,Female,5 person or more,2 adults,Two or more children,London,1.1657337883022092,earnings,587.42,491.5346,5
9136,6.654341351734128,472.938258730294,510.83,Earned income,Yes,Part-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,Scotland,1.2752422053494812,earnings,510.83,472.93826,3
9134,2.8385075023884574,515.4056951826699,445.314,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,East Midlands,0.5439733815734573,other source,445.314,515.4057,2
9132,5.14934925667836,172.0062982223903,143.562,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,West Midlands,0.9868245638600948,other source,143.562,172.0063,1
9130,4.526994837907467,381.0126340293595,1184.99,Other income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,West Midlands,0.8675561675528387,other source,1184.99,381.01263,2
9128,9.82441927001393,649.0542043928342,982.92,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Male,2 person,2 adults,No children,South East,1.8827579521308389,earnings,982.92,649.0542,2
9126,5.551698898195203,427.7546535465257,805.25,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,West Midlands,1.0639311048456723,earnings,805.25,427.75464,4
9122,4.555596364508855,155.23073196541762,233.5,Other income,No,Economically inactive,Routine and manual occupations,Private rented,Male,4 person,2 adults,Two or more children,South East,0.8730373822864366,other source,233.5,155.23073,4
9122,4.231284838984875,1175.0,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Female,4 person,1 adult,Two or more children,South West,0.8108861154414203,earnings,1184.99,1175.0,4
9121,4.313467359116722,441.94066424862297,336.63,Earned income,Yes,Part-time working,Routine and manual occupations,Private rented,Female,2 person,1 adult,One child,Yorkshire and the Humber,0.8266356258248639,earnings,336.63,441.94067,2
9118,6.390699758760173,68.995,91.63,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Male,1 person,1 adult,No children,North West and Merseyside,1.2247177629329014,other source,91.63,68.995,1
9114,4.753957988268932,317.11692307692306,192.12,Other income,Yes,Economically inactive,Routine and manual occupations,Public rented,Female,2 person,2 adults,No children,South West,0.9110515299187314,other source,192.12,317.1169,2
9113,5.783907075102043,629.2792131175988,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,South East,1.1084316274318322,earnings,1184.99,629.27924,4
9110,4.354849332261215,167.305,244.89,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Male,2 person,2 adults,No children,West Midlands,0.8345660934557051,other source,244.89,167.305,2
9108,4.42099310708352,423.50202450526314,659.66,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,3 person,3 adults,No children,North East,0.8472419284957207,earnings,659.66,423.502,3
9095,3.9469972972172225,1024.845575499182,635.685,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South East,0.7564050702779216,earnings,635.685,1024.8456,2
9094,5.397131401024143,443.82533561573536,1126.92,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Wales,1.0343096914632037,earnings,1126.92,443.82535,2
9094,7.45952057603082,567.8688044696291,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South West,1.4295472635692723,earnings,1184.99,567.8688,2
9090,2.130785230757645,415.9167105237125,536.54,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Male,2 person,2 adults,No children,West Midlands,0.40834503569453345,other source,536.54,415.91672,2
9087,6.7899502932855,794.82,1139.09,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South East,1.3012303890852035,earnings,1139.09,794.82,2
9087,3.733927465699625,595.0452586564481,530.55,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,North West and Merseyside,0.7155722323641988,other source,530.55,595.0453,2
9084,3.73801736369738,453.673204671697,580.334,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Scotland,0.7163560230155382,other source,580.334,453.67322,2
9078,4.02261355672231,119.66,153.7,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Yorkshire and the Humber,0.7708962183021234,other source,153.7,119.66,1
9078,4.333539404085963,629.643957166951,315.6645,Other income,Yes,Part-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,South East,0.8304822452781593,other source,315.6645,629.644,1
9076,5.11117382843918,1175.0,649.85,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,4 person,2 adults,Two or more children,South East,0.9795086005326039,earnings,649.85,1175.0,4
9076,4.924081306714585,135.57,339.33,Earned income,No,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,1 person,1 adult,No children,West Midlands,0.9436540707756819,earnings,339.33,135.57,1
9075,5.04406253703063,594.0357045895022,723.08,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,Yorkshire and the Humber,0.9666473499991626,earnings,723.08,594.0357,1
9062,1.1444153781649675,584.655,779.04,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,5 person or more,2 adults,Two or more children,Northern Ireland,0.2193164903250163,earnings,779.04,584.655,5
9060,4.331944696304435,634.4967541245645,1095.6,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,2 adults,Two or more children,East Midlands,0.8301766344655017,earnings,1095.6,634.49677,4
9058,6.82715560547254,218.77665605729064,495.47166666666664,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Female,2 person,2 adults,No children,Yorkshire and the Humber,1.3083604387559726,earnings,495.47168,218.77666,2
9058,6.068523724740272,667.5830488040763,1184.99,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,2 adults,Two or more children,South West,1.1629757430367897,earnings,1184.99,667.58307,4
9058,6.8258434503457,123.72,127.4,Other income,Yes,Economically inactive,Routine and manual occupations,Public rented,Male,1 person,1 adult,No children,East Midlands,1.3081089765136162,other source,127.4,123.72,1
9057,4.245176918208905,184.6059080298257,600.0,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.8135484023320567,earnings,600.0,184.60591,2
9053,6.620686281314478,633.2728337996501,1184.99,Other income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South East,1.2687925262671236,other source,1184.99,633.2728,2
9052,3.1456591650931,315.7898823836148,335.52,Other income,Yes,Economically inactive,Not classified for other reasons,Private rented,Male,2 person,2 adults,No children,North West and Merseyside,0.6028361214030202,other source,335.52,315.7899,2
9049,5.94566703877324,485.96183630572153,485.76,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,3 person,3 adults,No children,North West and Merseyside,1.1394314096650582,earnings,485.76,485.96182,3
9037,5.71101131280078,344.58315207178225,231.21,Other income,Yes,Part-time working,Routine and manual occupations,Private rented,Male,2 person,1 adult,One child,South West,1.0944618372205936,other source,231.21,344.58316,2
9036,4.65232747001417,975.133661701578,617.314,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Wales,0.8915749928161918,other source,617.314,975.13367,2
9033,2.810622525427465,603.531345448391,938.98,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,5 person or more,2 adults,Two or more children,West Midlands,0.5386294868682979,earnings,938.98,603.5314,5
9028,5.0304995304788225,458.0539136033969,739.17,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,South West,0.9640481268045501,earnings,739.17,458.05392,2
9023,6.58790801167173,317.92232009975777,571.88,Earned income,No,Full-time working,Routine and manual occupations,Public rented,Male,1 person,1 adult,No children,North West and Merseyside,1.2625108778428413,earnings,571.88,317.92233,1
9022,5.050964859938082,230.95942410471403,67.305,Other income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,East Midlands,0.9679701155474373,other source,67.305,230.95943,1
9022,7.287753906787075,218.80768085437296,328.32,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Eastern,1.3966297899210585,other source,328.32,218.80768,1
9019,5.82151847915444,516.3266745071093,668.8697435897436,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Male,2 person,2 adults,No children,West Midlands,1.1156395008057416,earnings,668.86975,516.32666,2
9014,4.868789120304802,926.121774338687,993.58,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,2 adults,Two or more children,North West and Merseyside,0.9330578410350132,earnings,993.58,926.12177,4
9009,5.679613168329412,450.4988434069567,418.44179487179485,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,3 person,2 adults,One child,London,1.088444676861197,earnings,418.4418,450.49884,3
9003,3.272270444035245,492.13677401028,668.839,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Scotland,0.6270999873584724,other source,668.839,492.13678,2
9003,5.11747603439609,118.1471959,370.64,Earned income,No,Full-time working,Routine and manual occupations,Owned,Female,1 person,1 adult,No children,Northern Ireland,0.9807163592871142,earnings,370.64,118.147194,1
8993,3.646065933846525,291.01133385176826,398.16,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Wales,0.6987343925655939,other source,398.16,291.01132,2
8993,5.718757007604142,459.49314669826,1184.99,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Male,2 person,2 adults,No children,South East,1.095946227094947,earnings,1184.99,459.49313,2
8993,2.8900416829783473,279.43585937587227,384.03,Other income,Yes,Part-time working,Intermediate occupations,Public rented,Female,3 person,1 adult,Two or more children,North East,0.5538494246906628,other source,384.03,279.43585,3
8986,5.555135114233337,391.40811901936377,574.41,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,2 adults,One child,South East,1.0645896234708683,earnings,574.41,391.4081,3
8985,5.248115240489238,1175.0,489.92,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,4 person,2 adults,Two or more children,Yorkshire and the Humber,1.005752139761453,earnings,489.92,1175.0,4
8985,7.230306709699403,122.907592508616,224.39,Other income,No,Economically inactive,Routine and manual occupations,Private rented,Male,2 person,1 adult,One child,London,1.3856205725646122,other source,224.39,122.90759,2
8985,5.0249194115084075,748.7613079600231,903.57,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,2 adults,One child,Yorkshire and the Humber,0.9629787492590038,earnings,903.57,748.7613,3
8983,5.795230861743695,281.33359508286776,576.7,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,2 adults,One child,South West,1.1106017250998823,earnings,576.7,281.3336,3
8975,3.3231112343153275,379.6759551319368,500.0,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,East Midlands,0.6368431487160705,earnings,500.0,379.67596,2
8973,4.42324511243828,590.2140658655292,539.37,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Wales,0.847673504233012,other source,539.37,590.21405,1
8961,3.128496205889725,285.8995697362871,438.49,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,East Midlands,0.5995470009945623,earnings,438.49,285.89957,2
8961,7.862358453353485,482.94343138030627,851.842,Earned income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,5 person or more,3 adults,Two or more children,South West,1.506747370374942,earnings,851.842,482.94342,5
8961,3.2906970551511323,354.1138492142431,597.686,Other income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,3 person,3 adults,No children,Yorkshire and the Humber,0.6306312748224704,other source,597.686,354.11386,3
8960,3.6784397656836827,319.45636800888934,643.0,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,West Midlands,0.7049385342718006,earnings,643.0,319.45636,2
8960,3.1818214867773524,1102.04,335.4,Other income,Yes,Economically inactive,Not classified for other reasons,Private rented,Female,2 person,2 adults,No children,South East,0.6097662917110351,other source,335.4,1102.04,2
8956,5.046701377040668,452.4961131026868,710.985,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,Scotland,0.9671530589756172,earnings,710.985,452.49612,1
8955,5.850165229589655,1175.0,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,1.1211293822635933,earnings,1184.99,1175.0,2
8946,2.3053023864809026,723.7358197894736,558.234,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,North East,0.44178961431956126,other source,558.234,723.73584,2
8939,4.784536713816945,218.86395317167057,133.462,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,Eastern,0.9169116563149318,earnings,133.462,218.86395,1
8938,4.541957263678833,1002.2928281711676,569.415,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South East,0.8704235763359907,other source,569.415,1002.29285,2
8932,4.689063085484178,77.36910068211108,243.912,Other income,Yes,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Public rented,Female,3 person,1 adult,Two or more children,London,0.8986150295096258,other source,243.912,77.3691,3
8924,4.61305157723779,319.17050688804534,387.294,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.8840481357654683,other source,387.294,319.1705,2
8923,4.621988521533383,636.5293320746847,1184.99,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Female,3 person,3 adults,No children,South East,0.8857608174495282,earnings,1184.99,636.52936,3
8921,7.832499452829222,1071.4024075890586,951.655,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,Scotland,1.5010251725396644,earnings,951.655,1071.4025,2
8921,4.251458474217142,1175.0,1184.99,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,West Midlands,0.8147522037172807,other source,1184.99,1175.0,1
8915,4.239289812966295,203.74158887668295,492.314,Other income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,Eastern,0.8124201937422232,other source,492.314,203.7416,2
8915,5.252739301072277,242.3941107697559,343.3575,Other income,Yes,Part-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,Scotland,1.0066382976700863,other source,343.3575,242.3941,1
8911,5.990118235780895,553.9016842430111,1103.067,Other income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,London,1.1479500653074675,other source,1103.067,553.9017,2
8898,3.4751502173154174,454.3455518632002,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,2 adults,Two or more children,North West and Merseyside,0.6659799960359934,earnings,1184.99,454.34555,4
8896,3.54759748902537,455.5911596686203,646.79,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.6798638372253062,other source,646.79,455.59116,2
8895,4.134554999718367,803.5351663551402,1184.99,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Eastern,0.7923487475744749,other source,1184.99,803.53516,2
8883,4.9446243888926,99.76,167.0,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,North West and Merseyside,0.9475909600990016,other source,167.0,99.76,1
8882,4.495177658102165,468.9097516205246,701.15,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,Eastern,0.861458702995758,earnings,701.15,468.90976,1
8880,4.031759783675403,408.9524435560173,538.884,Earned income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,3 person,3 adults,No children,Eastern,0.7726490070476616,earnings,538.884,408.95245,3
8866,4.476590450039607,292.4032856324302,355.25,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Scotland,0.8578966386308441,other source,355.25,292.4033,1
8864,4.95172456351408,366.96389719626166,311.325,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,3 person,2 adults,One child,Eastern,0.9489516420754835,other source,311.325,366.9639,3
8864,3.58681085133292,415.38387303067947,1119.6975,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,North East,0.6873787108972461,earnings,1119.6975,415.38388,2
8862,3.62479926418913,450.234331632844,337.2365,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South East,0.6946588344779,other source,337.2365,450.23434,2
8861,4.902164374831832,621.9630703472287,640.49,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,London,0.9394538960218916,earnings,640.49,621.9631,2
8860,5.227920622052045,273.05070690332593,458.35,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,1 adult,Two or more children,London,1.0018820302508662,earnings,458.35,273.05072,3
8842,6.851529577470705,1090.051519498249,1184.99,Earned income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,4 person,3 adults,One child,West Midlands,1.313031482238881,earnings,1184.99,1090.0515,4
8841,5.880170638958315,1175.0,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,South West,1.1268796379828512,earnings,1184.99,1175.0,2
8841,5.48624582673808,81.9294260590015,132.88,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,West Midlands,1.0513876366374888,other source,132.88,81.92943,1
8841,6.816731164071612,348.8905569213313,499.13,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,2 person,2 adults,No children,West Midlands,1.3063626921813711,earnings,499.13,348.89056,2
8830,4.433870379678575,313.9930970421536,303.84,Other income,Yes,Economically inactive,Not classified for other reasons,Private rented,Female,1 person,1 adult,No children,North West and Merseyside,0.8497097371990906,other source,303.84,313.9931,1
8827,4.624438284691032,513.6693503367424,505.05,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,South West,0.8862302916178364,earnings,505.05,513.6694,2
8823,3.2078537654964925,466.6550957210287,498.245,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,5 person or more,3 adults,Two or more children,West Midlands,0.6147551341477727,other source,498.245,466.6551,5
8823,4.39268343117526,250.76586710146475,232.0,Other income,Yes,Economically inactive,Not classified for other reasons,Private rented,Female,2 person,2 adults,No children,North West and Merseyside,0.841816644214419,other source,232.0,250.76587,2
8818,5.53455779148564,730.6912572914864,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,2 person,2 adults,No children,Eastern,1.0606461722630154,earnings,1184.99,730.6913,2
8816,6.40481616021716,116.8230700964842,352.142,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South East,1.2274230390788141,other source,352.142,116.82307,1
8816,5.073235121117247,567.0806591778877,882.62,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,East Midlands,0.9722380025521258,earnings,882.62,567.0807,4
8813,5.726293697054608,263.44992319432333,461.73,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Male,3 person,2 adults,One child,South West,1.0973905630506522,earnings,461.73,263.44992,3
8811,7.897775022345303,678.1479904691216,893.52,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,East Midlands,1.5135346241630676,earnings,893.52,678.148,3
8810,3.1648660252816674,671.4593930893553,1152.6265,Other income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South West,0.6065169362951395,other source,1152.6265,671.4594,2
8808,6.459483613384405,471.52582849309886,397.3974358974359,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,Scotland,1.2378995445438772,earnings,397.39743,471.52582,2
8804,7.087765722541462,211.54923076923075,183.02,Other income,Yes,Economically inactive,Routine and manual occupations,Public rented,Male,1 person,1 adult,No children,Eastern,1.3583039272036685,other source,183.02,211.54922,1
8802,4.114069101070157,212.81651768837116,602.31,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Scotland,0.788422816939146,other source,602.31,212.81651,2
8796,3.21682501170764,552.0369427560657,408.43,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,1 adult,Two or more children,West Midlands,0.6164743894727276,earnings,408.43,552.0369,4
8794,7.0969641449233425,315.88104575118587,563.23,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,Scotland,1.3600667187143487,earnings,563.23,315.88104,2
8793,3.7113987176045073,415.60072588447014,566.354,Other income,Yes,Full-time working,Intermediate occupations,Public rented,Male,2 person,2 adults,No children,East Midlands,0.7112548087626737,other source,566.354,415.60074,2
8793,10.032211217334547,315.72451750823035,552.91,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Female,2 person,2 adults,No children,London,1.9225793329630607,earnings,552.91,315.72452,2
8791,4.471829679373175,31.952000575433697,71.0,Other income,No,Unemployed and work related Government Training Programmes,Intermediate occupations,Private rented,Female,1 person,1 adult,No children,West Midlands,0.8569842815149529,other source,71.0,31.952,1
8789,3.0390887501694275,479.92369277652665,1071.02,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,Yorkshire and the Humber,0.5824128993636434,earnings,1071.02,479.9237,4
8789,4.81528155845717,560.7989508845264,661.732,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,North East,0.922803617879529,other source,661.732,560.79895,1
8785,6.702324487095908,671.9723017765292,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South East,1.2844377239025522,earnings,1184.99,671.9723,2
8769,6.60993163245263,164.62537544376715,577.162,Earned income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,2 person,2 adults,No children,Wales,1.2667314985248712,earnings,577.162,164.62538,2
8765,2.2867397979701125,736.6433636732702,809.37,Other income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,5 person or more,2 adults,Two or more children,Eastern,0.43823226806119325,other source,809.37,736.6434,5
8762,4.856531124758103,190.94625419649623,243.572,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Yorkshire and the Humber,0.9307087109787285,other source,243.572,190.94626,1
8757,5.170878398049828,1068.31187209635,866.254,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Scotland,0.9909504221938691,other source,866.254,1068.3119,2
8753,3.5011383157933573,439.6408349473684,266.25,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Female,1 person,1 adult,No children,North East,0.6709603717432318,earnings,266.25,439.64084,1
8753,3.8126978181091826,402.7379663298971,563.61,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,West Midlands,0.7306678327569772,earnings,563.61,402.73798,2
8739,9.813627426363862,682.033195527298,1184.99,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,4 person,4 and more adults,No children,London,1.8806897963557352,earnings,1184.99,682.0332,4
8739,3.7023311621945276,123.365,172.48,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,3 person,2 adults,One child,London,0.7095170966816519,other source,172.48,123.365,3
8735,3.8296042689026075,622.5315790635901,538.34,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,1 adult,Two or more children,West Midlands,0.7339077957307464,earnings,538.34,622.53156,3
8733,4.620768808673775,530.2524235926599,968.1694871794872,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,2 adults,One child,East Midlands,0.8855270709020094,earnings,968.1695,530.25244,3
8732,5.860721720864933,803.1692543142328,543.24,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Male,2 person,2 adults,No children,South East,1.1231524349600301,earnings,543.24,803.16925,2
